"GEOID","NAME","median_hh_income","gini","prop_owner_occ","prop_renter_occ","unemploymentrate","singlerate","rent_pct_incomeE","snap_pct","majority_race","xsite","evict_pct","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct"
19140,"ZCTA5 19140",22790,0.533,0.501993514433045,0.498006485566955,0.160480016271738,0.599862798902391,42.1,48.0516718941045,"BLACK","PHILADELPHIA",0.0290350128095645,96.8531468531469,3.14685314685315,52.6735695243983,41.2626047985164,1.32905768264884,1.58791484758336
19137,"ZCTA5 19137",53255,0.4001,0.793917825946296,0.206082174053704,0.0517603783499737,0.266310794780546,29.6,21.2552571983177,"WHITE","PHILADELPHIA",0.0204081632653061,14.7238528812747,85.2761471187253,3.64202707559602,9.83586917455373,0.395351623337726,0.850605007787229
19136,"ZCTA5 19136",51101,0.4362,0.597064547518651,0.402935452481349,0.097704602812162,0.28833357977229,28.4,21.9104768083036,"WHITE","PHILADELPHIA",0.0265647011471121,39.7311533922455,60.2688466077545,15.3392245473648,17.6103163409228,3.75924699922282,3.02236550473504
19106,"ZCTA5 19106",107388,0.4727,0.490944180522565,0.509055819477435,0.0347063310450038,0.190072639225182,23.7,0.623515439429929,"WHITE","PHILADELPHIA",0.0078740157480315,21.7201397712834,78.2798602287166,7.97331639135959,5.71791613722999,5.51937738246506,2.50952986022872
19141,"ZCTA5 19141",32388,0.489,0.522638345444382,0.477361654555618,0.145403377110694,0.625425301577482,38.5,36.3730735446778,"BLACK","PHILADELPHIA",0.0371361659417866,95.8473819198294,4.1526180801706,82.3376847929455,4.93069363995274,6.27071265957753,2.30829082735368
19145,"ZCTA5 19145",46540,0.4821,0.599053267315958,0.400946732684042,0.107344867742472,0.326548672566372,30.2,22.803199303553,"NO MAJORITY","PHILADELPHIA",0.0200841362464378,53.1312429427604,46.8687570572396,29.4080604534005,7.95405194128377,13.773560323113,1.99557022496309
19147,"ZCTA5 19147",81519,0.4919,0.551121334100057,0.448878665899943,0.0529359787934774,0.156092473492091,27,10.2702702702703,"WHITE","PHILADELPHIA",0.0078145016653856,31.742566022042,68.257433977958,8.34632979829486,8.74922021210231,11.8657725098773,2.78124350176752
19118,"ZCTA5 19118",89422,0.5249,0.449033977348434,0.550966022651566,0.0428150459351707,0.140192539109507,30,3.84188318898512,"WHITE","PHILADELPHIA",0.00483675937122128,32.7912532157295,67.2087467842705,18.43072399853,6.32120543917677,4.86953325983094,3.16979051819184
19121,"ZCTA5 19121",21201,0.5637,0.316972920696325,0.683027079303675,0.156523595985479,0.783180262920944,44.1,41.6586073500967,"BLACK","PHILADELPHIA",0.0253687315634218,85.7526632700324,14.2473367299676,72.3637486490659,6.83341052956616,4.17477227111317,2.38073182028717
19128,"ZCTA5 19128",74564,0.421,0.582639569049951,0.417360430950049,0.0496621767009511,0.167726252804787,26.6,7.03966699314398,"WHITE","PHILADELPHIA",0.0161337635670285,24.330570608862,75.669429391138,13.5612581022208,4.06970566358517,3.04696631601318,3.65264052704282
19131,"ZCTA5 19131",37345,0.4926,0.48755991782698,0.51244008217302,0.0786492013485879,0.614213197969543,35.9,26.3353115727003,"BLACK","PHILADELPHIA",0.0324053452115813,89.2203116964426,10.7796883035575,79.9476779285826,3.60440936430919,3.46130626299667,2.20691814055408
19135,"ZCTA5 19135",45589,0.4394,0.645733222866611,0.354266777133389,0.108106480366177,0.432791552971883,31.8,33.1483015741508,"NO MAJORITY","PHILADELPHIA",0.0416276894293732,53.2418776639286,46.7581223360714,19.5641742174048,24.687385327575,6.00107262822141,2.98924549072741
19102,"ZCTA5 19102",96953,0.5152,0.276595744680851,0.723404255319149,0.0480909355872923,0,26.4,1.08019639934534,"WHITE","PHILADELPHIA",0.0126696832579186,26.7534486108413,73.2465513891587,4.60462405284632,3.71089955313775,17.0196230814066,1.41830192345055
19122,"ZCTA5 19122",37198,0.5727,0.430436740207114,0.569563259792886,0.116772823779193,0.562121751512994,34.6,34.6540597328531,"NO MAJORITY","PHILADELPHIA",0.0150197628458498,70.5852487768854,29.4147512231146,35.1195421397581,26.4331210191083,6.53558571032955,2.49699990768947
19129,"ZCTA5 19129",79034,0.4935,0.481481481481481,0.518518518518518,0.0224324736761789,0.23852617970265,22.1,17.6407621494327,"WHITE","PHILADELPHIA",0.0123864574731627,42.0576496674058,57.9423503325942,30.19955654102,3.53880266075388,3.84035476718404,4.47893569844789
19133,"ZCTA5 19133",20353,0.5071,0.443786982248521,0.556213017751479,0.183761583824768,0.662135218415806,38.8,62.3981243719996,"HISPANIC","PHILADELPHIA",0.0168606985146528,96.9301158586082,3.06988414139178,35.0749022212383,58.3314884510368,0.937200206626817,2.58652497970629
19144,"ZCTA5 19144",34075,0.5412,0.387749595250944,0.612250404749056,0.107311202487213,0.603836169599077,34.1,34.4144630329196,"BLACK","PHILADELPHIA",0.0304098721903922,84.0169537872573,15.9830462127427,75.1071005377814,3.95360495852703,2.41090146750524,2.54534682344362
19130,"ZCTA5 19130",84308,0.477,0.418762796139222,0.581237203860778,0.0380411937788987,0.183258837870784,24.7,6.03246563322609,"WHITE","PHILADELPHIA",0.00603849540822745,33.1155649060643,66.8844350939357,17.1483408998634,4.3775144871369,8.40069390617503,3.18901561288894
46530,"ZCTA5 46530",101206,0.4318,0.915691513867134,0.0843084861328665,0.0252458811000439,0.0533038565463031,24.1,2.64443011148991,"WHITE","SOUTH BEND",0.0284153005464481,15.8936029896681,84.1063970103319,2.65992525829853,2.64422322017398,7.71598153440317,2.87347297679239
