"xsite","zip","eviction_count","evict_pct","fully_vaccinated","vax_pct","pop_2019","white_2019","black_2019","hisp_2019","asian_2019","other_2019","renter_hh_2019","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct","majority_race","over_15_pop"
"PHOENIX","85281",2850,0.144853875476493,29157,0.4715519472118,66833,35274,3878,15043,8743,3895,19675,47.2206843924409,52.7793156075591,5.80252270584891,22.5083416874897,13.0818607574103,5.82795924169198,"WHITE",61832
"INDIANAPOLIS","46224",1285,0.144300954519933,11051,0.397661029147175,37074,11802,13408,10223,617,1024,8905,68.1663699627772,31.8336300372229,36.1655068241895,27.5745805685925,1.66423908938879,2.76204348060635,"NO MAJORITY",27790
"PHOENIX","85027",982,0.144178534723242,14452,0.458313512827831,37873,24864,816,7747,2796,1650,6811,34.3490085285032,65.6509914714968,2.15456921817654,20.4552055554089,7.38256805639902,4.35666569851873,"WHITE",31533
"INDIANAPOLIS","46208",640,0.142253834185375,8631,0.459046909903202,23080,9397,11184,1113,293,1093,4499,59.2850953206239,40.7149046793761,48.4575389948007,4.82235701906412,1.26949740034662,4.73570190641248,"NO MAJORITY",18802
"PHOENIX","85302",920,0.138179633523581,14824,0.459858543243579,40186,20983,2387,14121,1051,1644,6658,47.7852983626138,52.2147016373861,5.93987956004579,35.1391031702583,2.6153386751605,4.09097695714926,"WHITE",32236
"PHOENIX","85044",924,0.137254901960784,21359,0.627873478746546,41746,25675,3549,7512,2289,2721,6732,38.4971015187084,61.5028984812916,8.50141330905955,17.9945383988885,5.48316006323959,6.51798974752072,"WHITE",34018
"PHOENIX","85053",630,0.135309278350515,10391,0.413835676450675,30608,20013,1064,7218,834,1479,4656,34.6151332984841,65.3848667015159,3.4762153685311,23.5820700470465,2.72477783585991,4.83207004704652,"WHITE",25109
"INDIANAPOLIS","46222",992,0.135057862491491,9498,0.344242687832989,37885,10122,14848,10802,409,1704,7345,73.2823017025208,26.7176982974792,39.1922924640359,28.512603932955,1.07958294839646,4.49782235713343,"NO MAJORITY",27591
"PHOENIX","85040",783,0.134953464322647,10377,0.39608381999313,35204,5017,6336,21967,691,1193,5802,85.7487785478923,14.2512214521077,17.9979547778662,62.3991591864561,1.96284513123509,3.38881945233496,"HISPANIC",26199
"INDIANAPOLIS","46107",255,0.134849286092015,4444,0.409095093436436,13081,11870,328,609,120,154,1891,9.25770201054965,90.7422979894503,2.50745355859644,4.65560736946717,0.917361058023087,1.17728002446296,"WHITE",10863
"PHOENIX","85019",555,0.133509742602839,8337,0.413746898263027,27813,4755,1791,19215,839,1213,4157,82.9036781361234,17.0963218638766,6.43943479667781,69.0863984467695,3.01657498292166,4.36126990975443,"HISPANIC",20150
"SOUTH BEND","46613",189,0.133286318758815,2676,0.29697036954833,11327,5042,2743,2639,103,800,1418,55.4868897324976,44.5131102675024,24.2164739118919,23.2983137635738,0.90933168535358,7.06277037167829,"NO MAJORITY",9011
"PHOENIX","85203",757,0.13276043493511,12475,0.410510382046135,39797,21846,2106,12425,577,2843,5702,45.1064150564113,54.8935849435887,5.29185617006307,31.2209463024851,1.44985802949971,7.14375455436339,"WHITE",30389
"INDIANAPOLIS","46227",1584,0.131879110815086,18355,0.41291730405831,54876,37464,3761,3436,8313,1902,12011,31.7297179094686,68.2702820905314,6.85363364676726,6.26138931408995,15.1486988847584,3.46599606385305,"WHITE",44452
"PHOENIX","85331",168,0.131147540983607,17145,0.663840167266814,30727,27016,257,1734,776,944,1281,12.0773261301136,87.9226738698864,0.836397956194877,5.64324535424871,2.52546620236274,3.07221661730725,"WHITE",25827
"PHOENIX","85305",242,0.129967776584318,6839,0.629626219849015,13370,5793,914,4921,1113,629,1862,56.6716529543755,43.3283470456245,6.83620044876589,36.8062827225131,8.32460732984293,4.70456245325355,"NO MAJORITY",10862
"INDIANAPOLIS","46203",780,0.126459143968872,11716,0.395503493906762,38581,27024,6120,3834,357,1246,6168,29.9551592752909,70.0448407247091,15.8627303595034,9.93753401933594,0.925325937637697,3.22956895881392,"WHITE",29623
"PHOENIX","85201",1665,0.126050420168067,17438,0.411866128156074,54110,24222,3330,20835,1137,4586,13209,55.2356311217889,44.7643688782111,6.15413047495842,38.5048974311588,2.1012751801885,8.47532803548327,"NO MAJORITY",42339
"PHOENIX","85323",769,0.124615135310322,14700,0.449678800856531,43968,9928,4682,27459,728,1171,6171,77.419941775837,22.580058224163,10.64865356623,62.4522379912664,1.65574963609898,2.66330058224163,"HISPANIC",32690
"HOUSTON","77068",154,0.123893805309735,4305,0.453587609314087,11011,3874,2180,3767,947,243,1243,64.8170011806375,35.1829988193625,19.7983834347471,34.2112433021524,8.60049041867224,2.20688402506584,"NO MAJORITY",9491
"FORTWORTH","76112",1063,0.123777363763391,11941,0.360254631026368,42572,10194,18019,11732,1128,1499,8588,76.0546838297472,23.9453161702527,42.3259419336653,27.5580193554449,2.64962886404209,3.52109367659494,"NO MAJORITY",33146
"PHOENIX","85042",728,0.122517670817906,18446,0.492352862671827,47957,10374,7754,25898,1287,2644,5942,78.3681214421252,21.6318785578748,16.1686510832621,54.002543945618,2.68365410680401,5.51327230644119,"HISPANIC",37465
"FORTWORTH","75057",392,0.120913016656385,4289,0.367303245696669,14960,5207,1928,6976,385,464,3242,65.1938502673797,34.8061497326203,12.8877005347594,46.6310160427808,2.57352941176471,3.10160427807487,"NO MAJORITY",11677
"PHOENIX","85020",864,0.120754716981132,17696,0.60377358490566,35361,22076,1039,9637,687,1922,7155,37.5696388676791,62.4303611323209,2.93826532055089,27.253188541048,1.9428183592093,5.43536664687085,"WHITE",29309
"PHOENIX","85204",1186,0.118754380694903,21258,0.410053624474364,67924,29936,1311,32518,1002,3157,9987,55.9272127672104,44.0727872327896,1.93009834520935,47.8740945762911,1.47517814027442,4.64784170543549,"NO MAJORITY",51842
"PHOENIX","85024",364,0.116591928251121,11554,0.581831000100715,24834,18802,736,3337,923,1036,3122,24.2892808246758,75.7107191753241,2.96367882741403,13.4372231617943,3.71667874687928,4.17170008858823,"WHITE",19858
"HOUSTON","77073",709,0.11592544146501,11720,0.390849062896018,39939,5863,12488,20379,751,458,6116,85.3201131725882,14.6798868274118,31.2676832169058,51.0253136032449,1.88036756052981,1.14674879190766,"HISPANIC",29986
"PHOENIX","85395",209,0.114898295766905,19768,0.763685532161483,30491,18841,1853,6049,1877,1871,1819,38.2079958020399,61.79200419796,6.07720310911416,19.8386409104326,6.15591486012266,6.13623692237053,"WHITE",25885
"SOUTH BEND","46628",390,0.114537444933921,9525,0.469790382244143,26396,14549,8228,2471,285,863,3405,44.8818002727686,55.1181997272314,31.1713896044855,9.36126685861494,1.07970904682528,3.26943476284286,"WHITE",20275
"INDIANAPOLIS","46250",596,0.114088820826953,9154,0.587058295388957,18402,13169,3000,1095,583,555,5224,28.4371263993044,71.5628736006956,16.3025758069775,5.95044016954679,3.16813389848929,3.01597652429084,"WHITE",15593
"PHOENIX","85392",607,0.112972268751163,15377,0.505872290028621,39054,15638,3785,16140,1785,1706,5373,59.9580068622932,40.0419931377068,9.69170891586009,41.3273928406821,4.57059456137656,4.36831054437446,"NO MAJORITY",30397
"PHOENIX","85303",445,0.112203731719617,12408,0.465346534653465,35142,9706,2677,19246,1661,1852,3966,72.3806271697684,27.6193728302316,7.61766547151556,54.7663764156849,4.72653804564339,5.27004723692448,"HISPANIC",26664
"PHOENIX","85225",1147,0.109103015314373,30579,0.537548781774075,70356,34710,4625,23247,4489,3285,10513,50.6651884700665,49.3348115299335,6.57371084200352,33.041958041958,6.3804082096765,4.66911137642845,"NO MAJORITY",56886
"PHOENIX","85206",599,0.108988355167394,20048,0.64110517732084,37230,26735,2049,7111,426,909,5496,28.1896320171904,71.8103679828096,5.50362610797744,19.1001880204136,1.14423851732474,2.44157937147462,"WHITE",31271
"INDIANAPOLIS","46235",703,0.108739365815932,7882,0.332097412994017,33063,8700,18467,4553,233,1110,6465,73.6865983123129,26.3134016876871,55.853975743278,13.7706802165563,0.704715240601276,3.35722711187732,"BLACK",23734
"PHOENIX","85338",449,0.108585247883918,26108,0.675655391941202,50122,25462,4006,17153,1678,1823,4135,49.1999521168349,50.8000478831651,7.9924983041379,34.2224971070588,3.34783129164838,3.63712541398986,"WHITE",38641
"DALLAS","75237",855,0.108186764519803,3188,0.204345875264406,21423,385,16186,4034,205,613,7903,98.2028660785138,1.79713392148625,75.5543107874714,18.8302291929235,0.956915464687485,2.86141063343136,"BLACK",15601
"PHOENIX","85307",196,0.107870115575124,3363,0.393563487419544,11108,4126,594,5277,555,556,1817,62.855599567879,37.144400432121,5.34749729924379,47.5063017644941,4.99639899171768,5.00540151242348,"NO MAJORITY",8545
"PHOENIX","85306",363,0.106796116504854,8637,0.405302674800563,25520,18077,742,4860,532,1309,3399,29.1653605015674,70.8346394984326,2.90752351097179,19.0438871473354,2.0846394984326,5.12931034482759,"WHITE",21310
"PHOENIX","85034",170,0.106716886377903,3013,0.789156626506024,5045,1009,519,3352,73,92,1593,80,20,10.2874132804757,66.4420218037661,1.44697720515362,1.82358771060456,"HISPANIC",3818
"PHOENIX","85085",337,0.10436667698978,12822,0.692295232438853,23700,16383,690,2481,3265,881,3229,30.873417721519,69.126582278481,2.91139240506329,10.4683544303797,13.7763713080169,3.71729957805907,"WHITE",18521
"PHOENIX","85282",1321,0.103526645768025,26251,0.549264536647626,55664,33204,3951,13023,2408,3078,12760,40.349238286864,59.650761713136,7.09794481172751,23.3957315320494,4.32595573440644,5.52960620868066,"WHITE",47793
"HOUSTON","77034",721,0.102926481084939,11065,0.363227521911827,40635,4998,4024,29289,1893,431,7005,87.7002583979328,12.2997416020672,9.90279315860711,72.078257659653,4.65854558877815,1.06066199089455,"HISPANIC",30463
"PHOENIX","85004",240,0.102915951972556,5471,0.800907626994584,7164,4127,401,1943,476,217,2332,42.392518146287,57.607481853713,5.59743160245673,27.1217197096594,6.64433277498604,3.02903405918481,"WHITE",6831
"PHOENIX","85009",746,0.102811466372657,15176,0.389178099756379,51711,6171,1734,42235,162,1409,7256,88.0663688576899,11.9336311423101,3.35325172593839,81.6750788033494,0.313279573011545,2.72475875539054,"HISPANIC",38995
"HOUSTON","77060",1125,0.102040816326531,8633,0.276654382310527,45642,2181,7067,35078,665,651,11025,95.2215065071644,4.77849349283555,15.4835458568862,76.854651417554,1.45699136760002,1.42631786512423,"HISPANIC",31205
"PHOENIX","85283",1066,0.101456172075759,20386,0.473663421547898,51495,23915,3942,15583,3962,4093,10507,53.5585979221284,46.4414020778716,7.65511214681037,30.2611904068356,7.69395086901641,7.94834449946597,"NO MAJORITY",43039
"FORTWORTH","76103",202,0.100248138957816,4437,0.360146103896104,15486,4013,3077,7780,264,352,2015,74.0862714710061,25.9137285289939,19.8695596022214,50.2389254810797,1.70476559473072,2.2730207929743,"HISPANIC",12320
"INDIANAPOLIS","46219",703,0.100228115198175,13538,0.454600402955003,36940,24494,7175,3744,452,1075,7014,33.6924742826205,66.3075257173795,19.4233892799134,10.1353546291283,1.22360584731998,2.9101245262588,"WHITE",29780
"SOUTH BEND","46616",99,0.10010111223458,2322,0.530985593414132,5457,3332,1271,599,46,209,989,38.9408099688474,61.0591900311526,23.2911856331318,10.9767271394539,0.842954004031519,3.82994319223016,"WHITE",4373
"HOUSTON","77048",235,0.0995340957221516,6033,0.443439911797133,18383,416,12170,5418,166,213,2361,97.7370396562041,2.2629603437959,66.2024696730675,29.4728825545341,0.903008214110863,1.15867921449165,"BLACK",13605
"HOUSTON","77090",1240,0.0993191830196235,8874,0.294142994464517,40761,6009,19082,13541,986,1143,12485,85.257967174505,14.742032825495,46.8143568607247,33.2204803611295,2.4189789259341,2.80415102671671,"NO MAJORITY",30169
"INDIANAPOLIS","46205",592,0.0991126736983091,12220,0.554421305748378,27580,12490,12527,1151,465,947,5973,54.713560551124,45.286439448876,45.4205946337926,4.17331399564902,1.68600435097897,3.43364757070341,"NO MAJORITY",22041
"PHOENIX","85226",538,0.0984266373948042,22175,0.703767177631788,39157,24244,2445,6794,3717,1957,5466,38.0851444186225,61.9148555813775,6.24409428710065,17.3506652705774,9.49255560946957,4.99782925147483,"WHITE",31509
"PHOENIX","85037",622,0.0984021515582977,17149,0.424911420005451,54817,10547,4640,35906,1807,1917,6321,80.7596183665651,19.2403816334349,8.46452742762282,65.5015779776347,3.29642264261087,3.49709031869675,"HISPANIC",40359
"PHOENIX","85213",297,0.0979551451187335,14219,0.488726197841479,36916,27382,1277,5894,630,1733,3032,25.8262000216708,74.1737999783292,3.45920468089717,15.9659768122223,1.70657709394301,4.6944414346083,"WHITE",29094
"PHOENIX","85008",1602,0.0971733592138784,20134,0.407339969248199,62340,16325,7539,34818,629,3029,16486,73.8129611806224,26.1870388193776,12.0933589990375,55.8517805582291,1.00898299647097,4.85883862688483,"HISPANIC",49428
"PHOENIX","85345",661,0.096411901983664,22729,0.503455455632836,57351,30118,2229,20584,1882,2538,6856,47.4847866645743,52.5152133354257,3.88659308468902,35.8912660633642,3.28154696517933,4.42538055134174,"WHITE",45146
"PHOENIX","85032",1206,0.0947145213225477,28869,0.47906606262757,73203,45207,2136,20348,2560,2952,12733,38.2443342485964,61.7556657514036,2.91791320027868,27.7966749996585,3.49712443479092,4.03262161386828,"WHITE",60261
"PHOENIX","85208",350,0.0936329588014981,14937,0.47752557544757,37109,26227,667,8405,804,1006,3738,29.3244226467973,70.6755773532027,1.79740763696138,22.6494920369722,2.16659031501792,2.71093265784581,"WHITE",31280
"DALLAS","75202",108,0.0931034482758621,1877,0.862195682131373,2312,1277,479,344,96,116,1160,44.7664359861592,55.2335640138408,20.7179930795848,14.878892733564,4.1522491349481,5.01730103806228,"WHITE",2177
"PHOENIX","85209",345,0.0902196652719665,21593,0.630250138641604,41407,31047,874,6602,1491,1393,3824,25.0199241674113,74.9800758325887,2.11075422030092,15.9441640302364,3.60084043760717,3.36416547926679,"WHITE",34261
"HOUSTON","77026",428,0.0900105152471083,6007,0.344063233862191,21300,525,10706,9760,190,119,4755,97.5352112676056,2.46478873239437,50.2629107981221,45.8215962441315,0.892018779342723,0.55868544600939,"BLACK",17459
"INDIANAPOLIS","46237",418,0.0896803261102768,17702,0.573845954356846,39169,31892,1694,2367,2365,851,4661,18.5784676657561,81.4215323342439,4.32484873241594,6.04304424417269,6.03793816538589,2.17263652378156,"WHITE",30848
"PHOENIX","85043",344,0.0891422648354496,11562,0.422510506120957,38704,4793,2129,29507,638,1637,3859,87.616267052501,12.383732947499,5.50072343943778,76.2375981810666,1.64840843323687,4.22953699875982,"HISPANIC",27365
"HOUSTON","77493",174,0.0882800608828006,18847,0.675786152246405,36334,18536,3054,12685,1150,909,1971,48.9844223041779,51.0155776958221,8.40535036054384,34.9122034458083,3.16507953982496,2.50178895800077,"WHITE",27889
"PHOENIX","85353",314,0.0878813322138259,14355,0.464713499514406,42801,5395,3331,32049,549,1477,3573,87.3951543188243,12.6048456811757,7.78252844559707,74.8790916100091,1.28268031120768,3.45085395201047,"HISPANIC",30890
"HOUSTON","77373",547,0.086715282181357,18103,0.376283516940345,61501,24839,13529,19606,1774,1753,6308,59.6120388286369,40.3879611713631,21.998016292418,31.8791564364807,2.8845059429928,2.85036015674542,"NO MAJORITY",48110
"FORTWORTH","76120",347,0.0862754848334162,5444,0.385279547062987,18125,4459,8233,3358,1468,607,4022,75.3986206896552,24.6013793103448,45.4234482758621,18.5268965517241,8.09931034482759,3.34896551724138,"NO MAJORITY",14130
"HOUSTON","77079",429,0.0856287425149701,16480,0.646122480984866,34122,19629,4262,6502,2720,1009,5010,42.4740636539476,57.5259363460524,12.4904753531446,19.0551550319442,7.97139675282809,2.95703651603071,"WHITE",25506
"FORTWORTH","76006",745,0.0844671201814059,7434,0.367710342780828,24684,8822,7771,5643,1555,893,8820,64.2602495543672,35.7397504456328,31.4819316156215,22.8609625668449,6.2996272889321,3.61772808296872,"NO MAJORITY",20217
"DALLAS","75146",214,0.0843183609141056,6331,0.438374186400776,19701,2706,12976,3600,71,348,2538,86.2646566164154,13.7353433835846,65.8646769199533,18.2731841023298,0.360387797573727,1.76640779655855,"BLACK",14442
"PHOENIX","85297",202,0.0841666666666667,14678,0.627855248524254,33868,22543,1808,6079,2147,1291,2400,33.4386441478682,66.5613558521318,5.33837250501949,17.9490964922641,6.33931734971064,3.81185780087398,"WHITE",23378
"PHOENIX","85249",122,0.0840799448656099,25780,0.842511193176248,39618,28559,1556,3918,3805,1780,1451,27.9140794588318,72.0859205411682,3.92750769852087,9.88944419203392,9.60422030390227,4.49290726437478,"WHITE",30599
"DALLAS","75172",51,0.083743842364532,985,0.285838653511317,4619,1137,1297,2055,12,118,609,75.3842823121888,24.6157176878112,28.0796709244425,44.4901493829833,0.259796492747348,2.55466551201559,"NO MAJORITY",3446
"PHOENIX","85013",457,0.0817092794564634,12612,0.692434391127704,21028,12511,1298,5120,597,1502,5593,40.5031386722465,59.4968613277535,6.17272208483926,24.3484877306449,2.83907171390527,7.14285714285714,"WHITE",18214
"DALLAS","75216",761,0.0807084526460918,12888,0.322063123172652,53327,1710,29273,21884,75,385,9429,96.793369212594,3.206630787406,54.8933935904889,41.0373731880661,0.140641701202018,0.721960732837024,"BLACK",40017
"PHOENIX","85251",898,0.0805381165919282,21249,0.590545272636318,41102,29703,863,8140,1147,1249,11150,27.7334436280473,72.2665563719527,2.09965451802832,19.8043890808233,2.79061846138874,3.03878156780692,"WHITE",35982
"PHOENIX","85205",452,0.0802556818181818,20176,0.558211598052236,43135,34605,965,5762,511,1292,5632,19.7751246087864,80.2248753912136,2.2371623971253,13.3580618986902,1.18465283412542,2.99524747884549,"WHITE",36144
"HOUSTON","77016",314,0.0800816118337159,8219,0.342929861893437,30741,425,19229,10916,122,49,3921,98.6174815393123,1.38251846068768,62.5516411307375,35.5095800396864,0.396864122832699,0.159396246055756,"BLACK",23967
"PHOENIX","85007",269,0.0797746144721234,6591,0.587485515643105,14428,4349,1637,7270,522,650,3372,69.8572220682007,30.1427779317993,11.3459939007485,50.388134183532,3.61796506792348,4.50512891599667,"HISPANIC",11219
"PHOENIX","85296",249,0.0796035805626598,20734,0.617745203193898,44564,31576,1759,7550,2144,1535,3128,29.1446010232475,70.8553989767525,3.94713221434342,16.9419262184723,4.81105825329863,3.44448433713311,"WHITE",33564
"HOUSTON","77033",303,0.0795484379102127,8314,0.360038108435822,30558,387,20032,9673,91,375,3809,98.7335558609857,1.26644413901433,65.5540284050003,31.6545585444074,0.29779435826952,1.22717455330846,"BLACK",23092
"INDIANAPOLIS","46234",142,0.0790645879732739,11461,0.54628217349857,26864,19809,3597,1984,589,885,1796,26.261911852293,73.738088147707,13.3896664681358,7.38534842167957,2.19252531268612,3.29437164979154,"WHITE",20980
"PHOENIX","85224",577,0.0778887688984881,22411,0.632793087869889,43834,26503,1809,8255,4220,3047,7408,39.5378017064379,60.4621982935621,4.12693343067026,18.8324131952366,9.6272300041064,6.95122507642469,"WHITE",35416
"DALLAS","75210",168,0.0777777777777778,1556,0.250967741935484,8673,223,5211,3209,0,30,2160,97.4288020292863,2.57119797071371,60.0830162573504,36.9998846996426,0,0.345901072293324,"BLACK",6200
"INDIANAPOLIS","46268",459,0.0775730944735508,11096,0.531341282382799,25443,10091,11017,3357,262,716,5917,60.338796525567,39.6612034744331,43.3007113940966,13.1941987973116,1.02975278072554,2.81413355343316,"NO MAJORITY",20883
"HOUSTON","77044",274,0.0772701635645798,16220,0.462965605822749,48783,11661,14362,21256,726,778,3546,76.0961810466761,23.9038189533239,29.4405838099338,43.5725560133653,1.48822335649714,1.59481786687986,"NO MAJORITY",35035
"INDIANAPOLIS","46231",40,0.0772200772200772,4071,0.522794400924618,10277,5153,2697,1202,787,438,518,49.8589082417048,50.1410917582952,26.2430670429114,11.6960202393695,7.65787681229931,4.26194414712465,"WHITE",7787
"PHOENIX","85041",477,0.0771470160116448,22642,0.49753889426035,62152,9323,8829,39976,1660,2364,6183,84.9996782082636,15.0003217917364,14.2054962028575,64.3197322692753,2.67087141202214,3.80357832410864,"HISPANIC",45508
"SOUTH BEND","46615",183,0.0768261964735516,5510,0.504301665751419,13719,9044,2121,1221,548,785,2382,34.0768277571252,65.9231722428749,15.4603105182593,8.90006560244916,3.99446023762665,5.72199139879,"WHITE",10926
"DALLAS","75115",531,0.0767784846732215,19002,0.458841426605172,52916,6741,35266,9629,257,1023,6916,87.2609418701338,12.7390581298662,66.6452490740041,18.1967646836496,0.485675410083907,1.93325270239625,"BLACK",41413
"PHOENIX","85003",191,0.076676033721397,5864,0.801969365426696,8499,4560,730,2720,130,359,2491,46.3466290151783,53.6533709848217,8.58924579362278,32.003765148841,1.52959171667255,4.22402635604189,"WHITE",7312
"PHOENIX","85263",5,0.0757575757575758,3146,1.10735656458993,2907,2856,0,35,16,0,66,1.75438596491228,98.2456140350877,0,1.20399036807706,0.550395596835225,0,"WHITE",2841
"PHOENIX","85381",233,0.0757477243172952,12044,0.565233715036606,24997,17639,830,4469,998,1061,3076,29.4355322638717,70.5644677361283,3.32039844781374,17.8781453774453,3.9924790974917,4.24450934112093,"WHITE",21308
